AFGHANISTAN,Afghani,2,؋
ÅLAND ISLANDS,Euro,2,€
ALBANIA,Lek,2,Lek
ALGERIA,Algerian Dinar,2,¤
AMERICAN SAMOA,US Dollar,2,$
ANDORRA,Euro,2,€
ANGOLA,Kwanza,2,¤
ANGUILLA,East Caribbean Dollar,2,$
ANTIGUA AND BARBUDA,East Caribbean Dollar,2,$
ARGENTINA,Argentine Peso,2,$
ARMENIA,Armenian Dram,2,¤
ARUBA,Aruban Florin,2,ƒ
AUSTRALIA,Australian Dollar,2,$
AUSTRIA,Euro,2,€
AZERBAIJAN,Azerbaijanian Manat,2,ман
BAHAMAS (THE),Bahamian Dollar,2,$
BAHRAIN,Bahraini Dinar,3,¤
BANGLADESH,Taka,2,¤
BARBADOS,Barbados Dollar,2,$
BELARUS,Belarusian Ruble,0,p.
BELGIUM,Euro,2,€
BELIZE,Belize Dollar,2,BZ$
BENIN,CFA Franc BCEAO,0,¤
BERMUDA,Bermudian Dollar,2,$
BHUTAN,Indian Rupee,2,₹
BHUTAN,Ngultrum,2,¤
BOLIVIA (PLURINATIONAL STATE OF),Boliviano,2,$b
BOLIVIA (PLURINATIONAL STATE OF),Mvdol,2,¤
"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar,2,$
BOSNIA AND HERZEGOVINA,Convertible Mark,2,K̇
BOTSWANA,Pula,2,P
BOUVET ISLAND,Norwegian Krone,2,kr
BRAZIL,Brazilian Real,2,R$
BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,2,$
BRUNEI DARUSSALAM,Brunei Dollar,2,$
BULGARIA,Bulgarian Lev,2,лв
BURKINA FASO,CFA Franc BCEAO,0,¤
BURUNDI,Burundi Franc,0,¤
CABO VERDE,Cabo Verde Escudo,2,¤
CAMBODIA,Riel,2,៛
CAMEROON,CFA Franc BEAC,0,¤
CANADA,Canadian Dollar,2,$
CAYMAN ISLANDS (THE),Cayman Islands Dollar,2,$
CENTRAL AFRICAN REPUBLIC (THE),CFA Franc BEAC,0,¤
CHAD,CFA Franc BEAC,0,¤
CHILE,Chilean Peso,0,$
CHILE,Unidad de Fomento,4,¤
CHINA,Yuan Renminbi,2,¥
CHRISTMAS ISLAND,Australian Dollar,2,$
COCOS (KEELING) ISLANDS (THE),Australian Dollar,2,$
COLOMBIA,Colombian Peso,2,$
COLOMBIA,Unidad de Valor Real,2,¤
COMOROS (THE),Comoro Franc,0,¤
CONGO (THE DEMOCRATIC REPUBLIC OF THE),Congolese Franc,2,¤
CONGO (THE),CFA Franc BEAC,0,¤
COOK ISLANDS (THE),New Zealand Dollar,2,$
COSTA RICA,Costa Rican Colon,2,₡
CÔTE D'IVOIRE,CFA Franc BCEAO,0,¤
CROATIA,Kuna,2,kn
CUBA,Cuban Peso,2,₱
CUBA,Peso Convertible,2,¤
CURAÇAO,Netherlands Antillean Guilder,2,ƒ
CYPRUS,Euro,2,€
CZECH REPUBLIC (THE),Czech Koruna,2,Kč
DENMARK,Danish Krone,2,kr
DJIBOUTI,Djibouti Franc,0,¤
DOMINICA,East Caribbean Dollar,2,$
DOMINICAN REPUBLIC (THE),Dominican Peso,2,RD$
ECUADOR,US Dollar,2,$
EGYPT,Egyptian Pound,2,£
EL SALVADOR,El Salvador Colon,2,$
EL SALVADOR,US Dollar,2,$
EQUATORIAL GUINEA,CFA Franc BEAC,0,¤
ERITREA,Nakfa,2,¤
ESTONIA,Euro,2,€
ETHIOPIA,Ethiopian Birr,2,¤
EUROPEAN UNION,Euro,2,€
FALKLAND ISLANDS (THE) [MALVINAS],Falkland Islands Pound,2,£
FAROE ISLANDS (THE),Danish Krone,2,kr
FIJI,Fiji Dollar,2,$
FINLAND,Euro,2,€
FRANCE,Euro,2,€
FRENCH GUIANA,Euro,2,€
FRENCH POLYNESIA,CFP Franc,0,¤
FRENCH SOUTHERN TERRITORIES (THE),Euro,2,€
GABON,CFA Franc BEAC,0,¤
GAMBIA (THE),Dalasi,2,¤
GEORGIA,Lari,2,¤
GERMANY,Euro,2,€
GHANA,Ghana Cedi,2,¤
GIBRALTAR,Gibraltar Pound,2,£
GREECE,Euro,2,€
GREENLAND,Danish Krone,2,kr
GRENADA,East Caribbean Dollar,2,$
GUADELOUPE,Euro,2,€
GUAM,US Dollar,2,$
GUATEMALA,Quetzal,2,Q
GUERNSEY,Pound Sterling,2,£
GUINEA,Guinea Franc,0,¤
GUINEA-BISSAU,CFA Franc BCEAO,0,¤
GUYANA,Guyana Dollar,2,$
HAITI,Gourde,2,¤
HAITI,US Dollar,2,$
HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar,2,$
HOLY SEE (THE),Euro,2,€
HONDURAS,Lempira,2,L
HONG KONG,Hong Kong Dollar,2,$
HUNGARY,Forint,2,Ft
ICELAND,Iceland Krona,0,kr
INDIA,Indian Rupee,2,₹
INDONESIA,Rupiah,2,Rp
INTERNATIONAL MONETARY FUND (IMF),SDR (Special Drawing Right),0,¤
IRAN (ISLAMIC REPUBLIC OF),Iranian Rial,2,﷼
IRAQ,Iraqi Dinar,3,¤
IRELAND,Euro,2,€
ISLE OF MAN,Pound Sterling,2,£
ISRAEL,New Israeli Sheqel,2,₪
ITALY,Euro,2,€
JAMAICA,Jamaican Dollar,2,J$
JAPAN,Yen,0,¥
JERSEY,Pound Sterling,2,£
JORDAN,Jordanian Dinar,3,¤
KAZAKHSTAN,Tenge,2,лв
KENYA,Kenyan Shilling,2,¤
KIRIBATI,Australian Dollar,2,$
KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF),North Korean Won,2,₩
KOREA (THE REPUBLIC OF),Won,0,₩
KUWAIT,Kuwaiti Dinar,3,¤
KYRGYZSTAN,Som,2,лв
LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE),Kip,2,₭
LATVIA,Euro,2,€
LEBANON,Lebanese Pound,2,£
LESOTHO,Loti,2,¤
LESOTHO,Rand,2,R
LIBERIA,Liberian Dollar,2,$
LIBYA,Libyan Dinar,3,¤
LIECHTENSTEIN,Swiss Franc,2,CHF
LITHUANIA,Euro,2,€
LUXEMBOURG,Euro,2,€
MACAO,Pataca,2,¤
MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF),Denar,2,ден
MADAGASCAR,Malagasy Ariary,2,¤
MALAWI,Malawi Kwacha,2,¤
MALAYSIA,Malaysian Ringgit,2,RM
MALDIVES,Rufiyaa,2,¤
MALI,CFA Franc BCEAO,0,¤
MALTA,Euro,2,€
MARSHALL ISLANDS (THE),US Dollar,2,$
MARTINIQUE,Euro,2,€
MAURITANIA,Ouguiya,2,¤
MAURITIUS,Mauritius Rupee,2,₨
MAYOTTE,Euro,2,€
MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP,ADB Unit of Account,0,¤
MEXICO,Mexican Peso,2,$
MEXICO,Mexican Unidad de Inversion (UDI),2,¤
MICRONESIA (FEDERATED STATES OF),US Dollar,2,$
MOLDOVA (THE REPUBLIC OF),Moldovan Leu,2,¤
MONACO,Euro,2,€
MONGOLIA,Tugrik,2,₮
MONTENEGRO,Euro,2,€
